# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,0.0,0,2.0,0,180.0,0.0,0.0
 0.10929058781373341,1.0119444325846714,3.0,0.0,0.2185811756274668,1.9999999999999998,0,180.0,0.0,0.0
 0.15420152052331448,1.0237781089317022,3.0,0.0,0.30840304104662897,2.0000000000000004,0,180.0,0.0,0.0
 0.18841867458035824,1.035501596930619,3.0,0.0,0.3768373491607165,2.0,0,180.0,0.0,0.0
 0.21706096947850326,1.0471154644709477,3.0,0.0,0.4341219389570065,2.0,0,180.0,0.0,0.0
 0.2421162519167475,1.058620279442214,3.0,0.0,0.484232503833495,2.0,0,180.0,0.0,0.0
 0.26460651869132834,1.0700166097339443,3.0,0.0,0.5292130373826567,2.0,0,180.0,0.0,0.0
 0.2851403570799195,1.081305023235664,3.0,0.0,0.570280714159839,2.0,0,180.0,0.0,1.4978584205810882e-12
 0.30411525419962054,1.0924860878368998,3.0,0.0,0.6082305083992411,2.0,0,180.00000000000003,0.0,-1.6064071270680777e-12
 0.3218079729080327,1.1035603714271771,3.0,0.0,0.6436159458160654,2.0,0,180.0,0.0,0.0
 0.33842051045411264,1.1145284418960222,3.0,0.0,0.6768410209082253,2.0,0,180.0,0.0,0.0
 0.35410572874914253,1.1253908671329613,3.0,0.0,0.7082114574982851,2.0,0,180.0,0.0,0.0
 0.36898267578237287,1.1361482150275197,3.0,0.0,0.7379653515647457,2.0,0,180.0,0.0,0.0
 0.38314625597704083,1.1468010534692241,3.0,0.0,0.7662925119540817,2.0,0,180.0,0.0,2.1010550964725613e-12
 0.39667360682001535,1.1573499503476001,3.0,0.0,0.7933472136400307,2.0,0,180.00000000000003,0.0,-2.193904752194257e-12
 0.40962845793740216,1.167795473552174,3.0,0.0,0.8192569158748043,2.0,0,180.0,0.0,0.0
 0.4220642024295258,1.1781381909724717,3.0,0.0,0.8441284048590516,2.0,0,180.0,0.0,0.0
 0.4340261172994303,1.1883786704980188,3.0,0.0,0.8680522345988606,2.0,0,180.0,0.0,0.0
 0.44555300472372733,1.1985174800183418,3.0,0.0,0.8911060094474547,2.0,0,180.0,0.0,-2.554662993427027e-12
 0.4566784289004313,1.2085551874229663,3.0,0.0,0.9133568578008626,2.0,0,179.99999999999997,0.0,2.643084514402663e-12
 0.46743166409799264,1.2184923606014186,3.0,0.0,0.9348633281959853,2.0,0,180.0,0.0,0.0
 0.4778384323630997,1.2283295674432246,3.0,0.0,0.9556768647261995,2.0000000000000107,0,180.0,0.0,0.0
 0.4879214853210608,1.2380673758379102,3.0,0.0,0.9758429706421217,2.0,0,180.0,0.0,0.0
 0.4977010685893709,1.2477063536750017,3.0,0.0,0.9954021371787419,2.0,0,180.0,0.0,2.9935777341343032e-12
 0.5071952965515598,1.2572470688440247,3.0,0.0,1.0143905931031196,1.9999999999999882,0,180.00000000000003,0.0,-3.080890259211605e-12
 0.516420457800139,1.2666900892345052,3.0,0.0,1.032840915600278,2.0,0,180.0,0.0,-3.16824390303384e-12
 0.5253912663301225,1.2760359827359697,3.0,0.0,1.050782532660245,2.0,0,179.99999999999997,0.0,0.0
 0.5341210698314977,1.2852853172379437,3.0,0.0,1.0682421396629953,2.0,0,179.99999999999997,0.0,6.686710642350308e-12
 0.5426220237236535,1.2944386606299534,3.0,0.0,1.085244047447307,2.0,0,180.00000000000003,0.0,-3.4312417736647306e-12
 0.5509052375876676,1.3034965808015246,3.0,0.0,1.1018104751753353,2.0,0,180.0,0.0,0.0
 0.5589808991747244,1.3124596456421835,3.0,0.0,1.1179617983494488,2.0,0,180.0,0.0,0.0
 0.5668583800575379,1.3213284230414561,3.0,0.0,1.1337167601150757,2.0,0,180.0,0.0,0.0
 0.5745463261468723,1.3301034808888683,3.0,0.0,1.1490926522937446,2.0,0,180.0,0.0,0.0
 0.5820527356468189,1.338785387073946,3.0,0.0,1.1641054712936378,2.0,0,180.0,0.0,0.0
 0.5893850265201985,1.3473747094862154,3.0,0.0,1.178770053040397,2.0,0,180.0,0.0,0.0
 0.5965500951430669,1.3558720160152025,3.0,0.0,1.1931001902861338,2.0,0,180.0,0.0,0.0
 0.6035543675183147,1.3642778745504331,3.0,0.0,1.2071087350366294,2.0,0,180.0,0.0,0.0
 0.6104038441732105,1.3725928529814333,3.0,0.0,1.220807688346421,2.0,0,180.0,0.0,0.0
 0.6171041396699011,1.380817519197729,3.0,0.0,1.2342082793398022,2.0,0,180.0,0.0,0.0
 0.6236605175003834,1.3889524410888463,3.0,0.0,1.2473210350007669,2.0,0,180.0,0.0,0.0
 0.6300779210100216,1.3969981865443113,3.0,0.0,1.2601558420200434,2.0000000000000346,0,180.0,0.0,0.0
 0.6363610008899427,1.40495532345365,3.0,0.0,1.2727220017798857,2.0,0,180.0,0.0,0.0
 0.6425141396937406,1.412824419706388,3.0,0.0,1.2850282793874814,2.0,0,180.0,0.0,0.0
 0.6485414737640542,1.4206060431920517,3.0,0.0,1.2970829475281087,2.0,0,180.0,0.0,0.0
 0.6544469128968113,1.4283007618001669,3.0,0.0,1.308893825793623,2.0,0,180.0,0.0,0.0
 0.660234158022939,1.4359091434202595,3.0,0.0,1.3204683160458783,2.0,0,180.0,0.0,0.0
 0.6659067171472712,1.4434317559418561,3.0,0.0,1.3318134342945425,1.999999999999961,0,180.0,0.0,0.0
 0.671467919750811,1.4508691672544818,3.0,0.0,1.342935839501622,2.0,0,180.0,0.0,5.21211385923029e-12
 0.6769209298342479,1.458221945247663,3.0,0.0,1.3538418596684958,2.0,0,180.00000000000003,0.0,-1.0629253537072085e-11
 0.6822687577567406,1.4654906578109261,3.0,0.0,1.364537515513481,1.9999999999999585,0,179.99999999999997,0.0,5.418289515652678e-12
 0.6875142710037344,1.4726758728337965,3.0,0.0,1.3750285420074686,2.0,0,180.0,0.0,0.0
 0.6926602040003456,1.4797781582058005,3.0,0.0,1.385320408000691,2.0,0,180.0,0.0,5.629217133577935e-12
 0.6977091670721145,1.486798081816464,3.0,0.0,1.3954183341442288,2.0,0,180.00000000000003,0.0,-5.736558832294933e-12
 0.702663654642328,1.493736211555313,3.0,0.0,1.4053273092846559,2.0,0,180.0,0.0,0.0
 0.70752605274426,1.5005931153118734,3.0,0.0,1.4150521054885197,2.0,0,180.0,0.0,5.95519215648571e-12
 0.7122986459173367,1.5073693609756715,3.0,0.0,1.4245972918346732,2.0,0,180.00000000000003,0.0,-6.066562462002769e-12
 0.7169836235481483,1.5140655164362329,3.0,0.0,1.4339672470962963,2.0,0,180.0,0.0,0.0
 0.7215830857102207,1.5206821495830838,3.0,0.0,1.4431661714204411,2.0,0,180.0,0.0,0.0
 0.7260990485503683,1.5272198283057503,3.0,0.0,1.4521980971007367,2.0000000000000493,0,180.0,0.0,0.0
 0.7305334492641373,1.533679120493758,3.0,0.0,1.4610668985282746,2.0,0,180.0,0.0,0.0
 0.7348881506982089,1.5400605940366336,3.0,0.0,1.4697763013964178,2.0,0,180.0,0.0,0.0
 0.7391649456135634,1.5463648168239024,3.0,0.0,1.4783298912271268,2.0,0,180.0,0.0,0.0
 0.7433655606396429,1.5525923567450908,3.0,0.0,1.4867311212792857,2.0,0,180.0,0.0,0.0
 0.7474916599466004,1.5587437816897243,3.0,0.0,1.4949833198932008,2.0,0,180.0,0.0,0.0
 0.7515448486599648,1.5648196595473296,3.0,0.0,1.5030896973199295,1.9999999999999452,0,180.0,0.0,0.0
 0.7555266760395903,1.5708205582074322,3.0,0.0,1.5110533520791802,1.9999999999999443,0,180.0,0.0,0.0
